codigo,univComp
20100303,78
20100304,48
20100305,43
20100306,44
20100307,49
20100308,46
20100401,80
20100402,94
20100403,57
20100404,58
20100405,54
20100406,54
20100407,41
20100408,40
20100409,53
20100501,20
20100502,36
20100503,52
20100504,32
20100505,51
20100506,29
20100507,38
20100508,45
20100509,32
20100510,40
20100511,39
20100512,30
20100513,32
20100514,40
20100601,29
20100602,28
20100603,57
20100604,54
20100605,64
20100606,49
20100607,59
20100608,61
20100609,42
20100610,53
20100611,42
20100612,59
20100613,61
20100701,58
20100702,64
20100703,70
20100704,68
20100705,41
20100706,48
20100707,71
20100708,60
20100709,51
20100710,48
20100801,61
20100802,61
20100803,63
20100804,61
20100805,42
20100806,53
20100807,61
20100808,45
20100809,45
20100901,58
20100902,42
20100903,47
20100904,46
20100905,39
20100906,52
20100907,38
20100908,42
20100909,39
20100910,37
20101001,32
20101002,54
20101003,69
20101004,59
20101005,50
20101006,61
20101007,50
20101008,51
20101009,49
20101010,47
20101011,32
20101012,42
20101101,45
20101102,59
20101103,42
20101104,45
20101105,46
20101106,24
20101107,54
20101108,50
20101109,75
20101110,53
20101111,32
20101201,73
20101202,82
20101203,50
20101204,31
20101205,22
20101206,26
20101207,40
20101208,38
20101209,54
20101210,29
20101301,44
20101302,34
20101303,34
20101304,45
20101305,45
20101306,56
20101307,40
20101308,74
20101309,51
20101310,58
20101311,47
20101312,52
20101401,59
20101402,29
20101403,37
20101404,50
20101405,51
20101406,40
20101407,47
20101408,28
20101409,37
20101410,56
20101411,31
20101501,34
20101502,56
20101503,29
20101504,34
20101505,52
20101506,37
20101507,23
20101508,41
20101509,69
20101601,38
20101602,44
20101603,33
20101604,58
20101605,71
20101606,60
20101607,45
20101608,37
20101609,61
20101701,57
20101702,56
20101703,57
20101704,104
20101705,62
20101706,48
20101707,40
20101708,37
20101709,29
20101710,34
20101801,36
20101802,40
20101803,44
20101804,54
20101805,54
20101806,46
20101807,57
20101808,32
20101809,107
20101810,28
20101811,28
20101812,34
20101901,35
20101902,60
20101903,36
20101904,45
20101905,55
20101906,51
20101907,81
20101908,26
20101909,51
20101910,50
20101911,70
20101912,83
20110101,58
20110102,58
20110103,36
20110104,56
20110105,36
20110106,55
20110107,59
20110108,52
20110109,62
20110110,78
20110111,99
20110112,54
20110201,63
20110202,69
20110203,62
20110204,62
20110205,94
20110206,81
20110207,79
20110208,94
20110209,66
20110210,112
20110211,85
20110301,94
20110302,112
20110303,75
20110304,74
20110305,77
20110306,90
20110307,77
20110308,83
20110309,86
20110310,96
20110311,69
20110312,58
20110401,90
20110402,99
20110403,65
20110404,120
20110405,85
20110406,78
20110407,102
20110408,90
20110409,101
20110410,67
20110411,82
20110412,94
20110413,94
20110501,55
20110502,86
20110503,100
20110504,68
20110505,60
20110506,57
20110507,55
20110508,51
20110509,38
20110510,58
20110601,67
20110602,71
20110603,75
20110604,48
20110605,55
20110606,35
20110607,51
